property_key,property_category,bedrooms,beds,baths,guests
1,Apartment,1,4,2.0,1
2,Apartment,2,1,1.0,2
3,Apartment,2,1,1.0,3
4,Apartment,2,1,1.0,4
5,Apartment,2,1,1.0,5
6,Apartment,2,1,1.0,6
7,Apartment,2,1,1.5,2
8,Apartment,2,2,0.0,4
9,Apartment,2,2,1.0,4
10,Apartment,2,2,1.0,5
11,Apartment,2,2,1.0,6
12,Apartment,2,2,1.5,3
13,Apartment,2,2,1.5,4
14,Apartment,2,2,1.5,5
15,Apartment,2,2,2.0,4
16,Apartment,2,2,2.0,5
17,Apartment,2,2,2.0,6
18,Apartment,2,2,2.5,4
19,Apartment,2,2,2.5,5
20,Apartment,2,2,3.0,4
21,Apartment,2,3,0.0,6
22,Apartment,2,3,1.0,3
23,Apartment,2,3,1.0,4
24,Apartment,2,3,1.0,5
25,Apartment,2,3,1.0,6
26,Apartment,2,3,1.5,4
27,Apartment,2,3,1.5,5
28,Apartment,2,3,1.5,6
29,Apartment,2,3,1.5,7
30,Apartment,2,3,2.0,2
31,Apartment,2,3,2.0,3
32,Apartment,2,3,2.0,4
33,Apartment,2,3,2.0,5
34,Apartment,2,3,2.0,6
35,Apartment,2,3,2.0,8
36,Apartment,2,3,2.5,6
37,Apartment,2,3,2.5,8
38,Apartment,2,3,3.0,6
39,Apartment,2,4,0.0,6
40,Apartment,2,4,1.0,4
41,Apartment,2,4,1.0,5
42,Apartment,2,4,1.0,6
43,Apartment,2,4,1.0,8
44,Apartment,2,4,1.5,5
45,Apartment,2,4,1.5,6
46,Apartment,2,4,2.0,1
47,Apartment,2,4,2.0,4
48,Apartment,2,4,2.0,5
49,Apartment,2,4,2.0,6
50,Apartment,2,4,2.0,7
51,Apartment,2,4,2.0,8
52,Apartment,2,4,2.5,4
53,Apartment,2,5,1.0,5
54,Apartment,2,5,1.0,10
55,Apartment,2,5,2.0,5
56,Apartment,2,5,5.0,8
57,Apartment,2,6,1.0,6
58,Apartment,2,6,1.0,8
59,Apartment,2,7,1.5,4
60,Apartment,2,8,2.0,6
61,Apartment,3,2,2.5,4
62,Apartment,3,3,1.0,4
63,Apartment,3,3,1.0,5
64,Apartment,3,3,1.0,6
65,Apartment,3,3,1.5,8
66,Apartment,3,3,2.0,4
67,Apartment,3,3,2.0,6
68,Apartment,3,3,2.5,4
69,Apartment,3,3,2.5,6
70,Apartment,3,3,3.0,5
71,Apartment,3,3,3.0,6
72,Apartment,3,3,3.0,7
73,Apartment,3,3,3.0,8
74,Apartment,3,4,1.0,5
75,Apartment,3,4,1.0,6
76,Apartment,3,4,1.0,7
77,Apartment,3,4,1.5,5
78,Apartment,3,4,2.0,5
79,Apartment,3,4,2.0,6
80,Apartment,3,4,2.0,7
81,Apartment,3,5,2.0,5
82,Apartment,3,5,2.0,6
83,Apartment,3,5,2.0,7
84,Apartment,3,5,2.0,8
85,Apartment,3,5,2.0,10
86,Apartment,3,5,2.5,8
87,Apartment,3,5,2.5,10
88,Apartment,3,6,5.0,10
89,Apartment,3,200,2.0,5
90,Apartment,4,4,2.0,5
91,Apartment,4,4,2.0,7
92,Apartment,4,4,3.0,8
93,Apartment,4,5,2.0,6
94,Apartment,4,5,2.0,16
95,Apartment,4,6,2.0,8
96,Apartment,4,6,2.0,12
97,Apartment,4,6,3.0,8
98,Apartment,6,6,6.0,12
99,House,2,2,1.0,4
100,House,2,2,1.5,4
101,House,2,2,1.5,5
102,House,2,3,1.0,4
103,House,2,3,1.0,5
104,House,2,3,1.0,6
105,House,2,3,1.5,4
106,House,2,3,2.0,6
107,House,2,3,2.5,5
108,House,3,3,2.5,5
109,House,3,4,1.5,6
110,House,3,5,1.0,4
111,House,3,5,4.0,6
112,House,3,6,3.0,10
113,House,4,5,1.0,7
114,House,4,5,1.5,6
115,House,4,5,3.0,9
116,House,5,14,4.0,20
117,Unknown,2,3,1.5,4
