listing_key,location_key,host_key,property_key,date_key,listing_name,price_eur,is_price_imputed,rating,reviews,is_guest_favorite,is_new_listing,url
1,1,1,3,20260707,Lovely apartment of 76m2.,62.50,1,4.92,92119,1,0,https://www.airbnb.com/rooms/18950531?search_mode=regular_search&adults=1&check_in=2026-07-10&check_out=2026-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3JzI8D2jOf7UTXE&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
2,4,2,33,20260707,Beautiful Apartment Connected to an Art Gallery,200.00,1,4.83,83896,1,0,https://www.airbnb.com/rooms/3188899?search_mode=regular_search&adults=1&check_in=2026-11-08&check_out=2026-11-13&children=0&infants=0&pets=0&source_impression_id=p3_1783432989_P3-RhgPMgZTrbgUP&previous_page_section_name=1000&federated_search_id=8e26655d-fc69-4196-9097-675b785aba58
3,9,3,44,20260707,Explore Vienna |Tram right outside | Self check-in,75.00,1,4.81,99,0,0,https://www.airbnb.com/rooms/1310029432814712403?search_mode=regular_search&adults=1&check_in=2026-07-28&check_out=2026-08-02&children=0&infants=0&pets=0&source_impression_id=p3_1783435485_P391ZsYytGc6TBdr&previous_page_section_name=1000&federated_search_id=beefad01-77a4-4a14-8d74-f9081ac218b9
4,3,4,75,20260707,Luminous Oasis with views of Sagrada Familia,500.00,0,4.93,93157,1,0,https://www.airbnb.com/rooms/937447130141428110?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783432958_P3ctvnJRYMRz6F_-&previous_page_section_name=1000&federated_search_id=c7d27d83-da49-4269-83b4-76da48680bb0
5,3,4,79,20260707,Design and comfort very close to Sagrada Familia,500.00,0,4.93,9360,1,0,https://www.airbnb.com/rooms/1456471243797269714?search_mode=regular_search&adults=1&check_in=2026-07-20&check_out=2026-07-25&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3UoWRnIPzSHeXCT&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
6,3,4,93,20260707,Dream sunsets and pure design in the center,500.00,0,4.82,669,0,0,https://www.airbnb.com/rooms/1882719?search_mode=regular_search&adults=1&check_in=2026-07-28&check_out=2026-08-02&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3HOgkKBxFKckY06&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
7,8,5,36,20260707,Colosseo San Giovanni Luxury House,42.94,1,4.96,9628,1,0,https://www.airbnb.com/rooms/1508053195435584004?search_mode=regular_search&adults=1&check_in=2026-07-25&check_out=2026-07-30&children=0&infants=0&pets=0&source_impression_id=p3_1783435218_P3UitKTS-RyU0keX&previous_page_section_name=1000&federated_search_id=fcdfe070-8bbd-471e-b702-545e85940d59
8,5,6,13,20260707,Stylish Apt for 4 in Budapest Historic Center,230.50,1,4.93,93437,1,0,https://www.airbnb.com/rooms/18805229?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783434477_P3FNdOlOrYkPXCKQ&previous_page_section_name=1000&federated_search_id=d2c3701d-bce8-4520-9a36-4c56a6d28728
9,4,7,34,20260707,Spacious Parkside Residence * Modern 2BR by OYA,200.00,1,5.00,8,1,0,https://www.airbnb.com/rooms/1690465067267941577?search_mode=regular_search&adults=1&check_in=2026-10-10&check_out=2026-10-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432989_P3iQml1G52GW6Mc0&previous_page_section_name=1000&federated_search_id=8e26655d-fc69-4196-9097-675b785aba58
10,2,8,23,20260707,Iconic Acropolis Views • 2 BR Spacious Penthouse.!,73.00,1,4.99,99153,1,0,https://www.airbnb.com/rooms/1305893396922698581?search_mode=regular_search&adults=1&check_in=2026-07-19&check_out=2026-07-24&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3tK37_WxrY_X8aE&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
