listing_name,city,country,price_raw,property_type,guests,bedrooms,beds,baths,host_name,is_superhost,is_guest_favorite,rating,reviews,scrape_date,url
Lovely Apartment with Parking,Amsterdam,Netherlands,,Entire rental unit,8.0,3.0,3.0,3.0,EricNew HostEnjoy your stay in,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1722717549067251657?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432186_P3xWGEnSARqbu2oO&previous_page_section_name=1000&federated_search_id=3e659f52-bc47-4e30-8ea6-55e4e5e97e58
Light apartment next to Vondelpark,Amsterdam,Netherlands,,Entire rental unit,2.0,2.0,1.0,1.0,Kimo En Marieke,1,0,4.8,5,2026-07-07,https://www.airbnb.com/rooms/14711794?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432206_P3v5dwRxRQlfgozG&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Modern Apartment Parking,Amsterdam,Netherlands,,Entire rental unit,7.0,3.0,3.0,3.0,StefanNew HostListing highligh,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1721889843165936312?search_mode=regular_search&adults=1&check_in=2026-08-10&check_out=2026-08-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3ypxUhAfvJlOso9&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Stay tuned,Amsterdam,Netherlands,,,,,,,,0,0,,,2026-07-07,https://www.airbnb.com/rooms/703633681123945658?search_mode=regular_search&adults=1&check_in=2026-08-29&check_out=2026-09-03&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3gT3ZtdhUmB4_5V&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
2 Floor Apartment with Large kitchen Nieuw-Vennep,Amsterdam,Netherlands,,Entire rental unit,5.0,2.0,3.0,1.0,Chris,1,1,4.96,96139,2026-07-07,https://www.airbnb.com/rooms/926755763150694148?search_mode=regular_search&adults=1&check_in=2026-11-09&check_out=2026-11-14&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3zlbSfVTV_6HFP7&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Cityden | 2-Bedroom Apartment + Bath | Aparthotel,Amsterdam,Netherlands,€ 300,Entire serviced apartment,6.0,2.0,3.0,0.0,CitydenSuperhost,1,0,4.77,770,2026-07-07,https://www.airbnb.com/rooms/33092943?search_mode=regular_search&adults=1&check_in=2026-07-10&check_out=2026-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3B5UzBlNwdBgrcU&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Sunny&Spacious–Rare in Amsterdam,Amsterdam,Netherlands,,Entire rental unit,4.0,2.0,2.0,1.0,Ana,1,0,5.0,2,2026-07-07,https://www.airbnb.com/rooms/1473331767416749688?search_mode=regular_search&adults=1&check_in=2026-07-19&check_out=2026-07-24&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3RW3N4C8Bo_uMHX&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Private Island with Boat and Sauna near Amsterdam,Amsterdam,Netherlands,,Entire home/apt,6.0,3.0,4.0,1.5,MaxSuperhost,1,1,4.99,9997,2026-07-07,https://www.airbnb.com/rooms/1273030466661804584?search_mode=regular_search&adults=1&check_in=2026-08-27&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3AsMOU95k-Ob13M&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Spacious Museumplein House,Amsterdam,Netherlands,,Entire home,5.0,2.0,3.0,2.5,MargreetSuperhost,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1723779527456718334?search_mode=regular_search&adults=1&check_in=2026-08-04&check_out=2026-08-09&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3XGtUxW-3aHh1Kn&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
Bright & Stylish apartment in Amsterdam West,Amsterdam,Netherlands,,Entire rental unit,4.0,2.0,2.0,1.0,RachelNew HostWelcome to our b,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1705129721517751025?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&source_impression_id=p3_1783432207_P3i65zs5A8cDHxdU&previous_page_section_name=1000&federated_search_id=5d168981-a193-4968-b40d-0b4b710b7a79
